Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-38000-C,CALL,38000,65,21428.58767146,0.1349043201508784,80,50,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-38000-P,PUT,38000,9485,21428.58767146,0.13490431153272264,18465,505,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-16000-C,CALL,16000,5920,21428.58767146,0.21161663277540213,6140,5700,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-16000-P,PUT,16000,332.5,21428.58767146,0.2116166252711819,335,330,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-18000-C,CALL,18000,4177.5,21429.04068163,0.21161661783301516,4215,4140,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-18000-P,PUT,18000,642.5,21429.04068163,0.21161661012890312,660,625,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-20000-C,CALL,20000,2765,21429.04068163,0.21161660247273034,2800,2730,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-20000-P,PUT,20000,1225,21429.04068163,0.21161659498271576,1255,1195,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-21000-C,CALL,21000,2185,21429.87701565,0.21161658611545883,2215,2155,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-21000-P,PUT,21000,1635,21429.87701565,0.21161657868401312,1650,1620,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-22000-C,CALL,22000,1707.5,21429.87701565,0.21161657119574492,1735,1680,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-22000-P,PUT,22000,2172.5,21429.87701565,0.2116165633057426,2195,2150,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-23000-C,CALL,23000,1322.5,21429.87701565,0.21161655513267114,1350,1295,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-23000-P,PUT,23000,2795,21429.87701565,0.21161654671825533,2830,2760,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-24000-C,CALL,24000,1030,21429.87701565,0.2116165384547487,1060,1000,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-24000-P,PUT,24000,3500,21429.87701565,0.2116165302805659,3540,3460,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-26000-C,CALL,26000,635,21430.43962571,0.21161652257619684,655,615,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-26000-P,PUT,26000,5110,21430.43962571,0.2116165148222026,5145,5075,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-29000-C,CALL,29000,335,21430.43962571,0.2116165070091027,345,325,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-29000-P,PUT,29000,7745,21430.43962571,0.21161649913508268,8055,7435,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-32000-C,CALL,32000,192.5,21430.43962571,0.21161649048772938,205,180,NA,NA
2023-03-09T18:13:41Z,2023-05-26,BTC-230526-32000-P,PUT,32000,10370,21430.46844705,0.21161648222311144,11830,8910,NA,NA
