api,pair,interval,from,to,n,missing,id
fapi,SOLUSDT,1w,2020-09-14T00:00:00Z,2024-09-30T00:00:00Z,212,0,SOLUSDT-fapi-1w
fapi,SOLUSDT,30m,2020-09-14T07:00:00Z,2024-10-01T13:30:00Z,70958,0,SOLUSDT-fapi-30m
fapi,SOLUSDT,4h,2020-09-14T04:00:00Z,2024-10-01T12:00:00Z,8871,0,SOLUSDT-fapi-4h
fapi,SOLUSDT,5m,2020-09-14T07:00:00Z,2024-10-01T13:35:00Z,425744,0,SOLUSDT-fapi-5m
fapi,SUIUSDT,15m,2023-05-03T16:00:00Z,2024-10-01T13:30:00Z,49623,0,SUIUSDT-fapi-15m
fapi,SUIUSDT,1M,2023-05-01T00:00:00Z,2024-10-01T00:00:00Z,18,0,SUIUSDT-fapi-1M
fapi,SUIUSDT,1d,2023-05-03T00:00:00Z,2024-10-01T00:00:00Z,518,0,SUIUSDT-fapi-1d
fapi,SUIUSDT,1h,2023-05-03T16:00:00Z,2024-10-01T13:00:00Z,12406,0,SUIUSDT-fapi-1h
fapi,SUIUSDT,1w,2023-05-01T00:00:00Z,2024-09-30T00:00:00Z,75,0,SUIUSDT-fapi-1w
fapi,SUIUSDT,30m,2023-05-03T16:00:00Z,2024-10-01T13:30:00Z,24812,0,SUIUSDT-fapi-30m
fapi,SUIUSDT,4h,2023-05-03T16:00:00Z,2024-10-01T12:00:00Z,3102,0,SUIUSDT-fapi-4h
fapi,SUIUSDT,5m,2023-05-03T16:00:00Z,2024-10-01T13:35:00Z,148868,0,SUIUSDT-fapi-5m
fapi,TIAUSDT,15m,2023-10-31T18:00:00Z,2024-10-01T13:30:00Z,32239,0,TIAUSDT-fapi-15m
fapi,TIAUSDT,1M,2023-10-01T00:00:00Z,2024-10-01T00:00:00Z,13,0,TIAUSDT-fapi-1M
fapi,TIAUSDT,1d,2023-10-31T00:00:00Z,2024-10-01T00:00:00Z,337,0,TIAUSDT-fapi-1d
fapi,TIAUSDT,1h,2023-10-31T18:00:00Z,2024-10-01T13:00:00Z,8060,0,TIAUSDT-fapi-1h
fapi,TIAUSDT,1w,2023-10-30T00:00:00Z,2024-09-30T00:00:00Z,49,0,TIAUSDT-fapi-1w
fapi,TIAUSDT,30m,2023-10-31T18:00:00Z,2024-10-01T13:30:00Z,16120,0,TIAUSDT-fapi-30m
fapi,TIAUSDT,4h,2023-10-31T16:00:00Z,2024-10-01T12:00:00Z,2016,0,TIAUSDT-fapi-4h
fapi,TIAUSDT,5m,2023-10-31T18:00:00Z,2024-10-01T13:35:00Z,96716,0,TIAUSDT-fapi-5m
fapi,WLDUSDT,15m,2023-07-24T12:00:00Z,2024-10-01T13:30:00Z,41767,0,WLDUSDT-fapi-15m
fapi,WLDUSDT,1M,2023-07-01T00:00:00Z,2024-10-01T00:00:00Z,16,0,WLDUSDT-fapi-1M
fapi,WLDUSDT,1d,2023-07-24T00:00:00Z,2024-10-01T00:00:00Z,436,0,WLDUSDT-fapi-1d
fapi,WLDUSDT,1h,2023-07-24T12:00:00Z,2024-10-01T13:00:00Z,10442,0,WLDUSDT-fapi-1h
fapi,WLDUSDT,1w,2023-07-24T00:00:00Z,2024-09-30T00:00:00Z,63,0,WLDUSDT-fapi-1w
fapi,WLDUSDT,30m,2023-07-24T12:00:00Z,2024-10-01T13:30:00Z,20884,0,WLDUSDT-fapi-30m
fapi,WLDUSDT,4h,2023-07-24T12:00:00Z,2024-10-01T12:00:00Z,2611,0,WLDUSDT-fapi-4h
fapi,WLDUSDT,5m,2023-07-24T12:00:00Z,2024-10-01T13:35:00Z,125300,0,WLDUSDT-fapi-5m
fapi,XAIUSDT,15m,2024-01-09T14:00:00Z,2024-10-01T13:30:00Z,25535,0,XAIUSDT-fapi-15m
fapi,XAIUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,XAIUSDT-fapi-1M
fapi,XAIUSDT,1d,2024-01-09T00:00:00Z,2024-10-01T00:00:00Z,267,0,XAIUSDT-fapi-1d
fapi,XAIUSDT,1h,2024-01-09T14:00:00Z,2024-10-01T13:00:00Z,6384,0,XAIUSDT-fapi-1h
fapi,XAIUSDT,1w,2024-01-08T00:00:00Z,2024-09-30T00:00:00Z,39,0,XAIUSDT-fapi-1w
fapi,XAIUSDT,30m,2024-01-09T14:00:00Z,2024-10-01T13:30:00Z,12768,0,XAIUSDT-fapi-30m
fapi,XAIUSDT,4h,2024-01-09T12:00:00Z,2024-10-01T12:00:00Z,1597,0,XAIUSDT-fapi-4h
fapi,XAIUSDT,5m,2024-01-09T14:00:00Z,2024-10-01T13:35:00Z,76604,0,XAIUSDT-fapi-5m
fapi,XRPUSDT,15m,2020-01-06T08:15:00Z,2024-10-01T13:30:00Z,166102,0,XRPUSDT-fapi-15m
fapi,XRPUSDT,1M,2020-01-01T00:00:00Z,2024-10-01T00:00:00Z,58,0,XRPUSDT-fapi-1M
fapi,XRPUSDT,1d,2020-01-06T00:00:00Z,2024-10-01T00:00:00Z,1731,0,XRPUSDT-fapi-1d
fapi,XRPUSDT,1h,2020-01-06T08:00:00Z,2024-10-01T13:00:00Z,41526,0,XRPUSDT-fapi-1h
fapi,XRPUSDT,1w,2020-01-06T00:00:00Z,2024-09-30T00:00:00Z,248,0,XRPUSDT-fapi-1w
fapi,XRPUSDT,30m,2020-01-06T08:00:00Z,2024-10-01T13:30:00Z,83052,0,XRPUSDT-fapi-30m
fapi,XRPUSDT,4h,2020-01-06T08:00:00Z,2024-10-01T12:00:00Z,10382,0,XRPUSDT-fapi-4h
fapi,XRPUSDT,5m,2020-01-06T08:20:00Z,2024-10-01T13:35:00Z,498304,0,XRPUSDT-fapi-5m
spot,ACEUSDT,15m,2023-12-18T06:00:00Z,2024-10-01T13:15:00Z,27678,0,ACEUSDT-spot-15m
spot,ACEUSDT,1M,2023-12-01T00:00:00Z,2024-10-01T00:00:00Z,11,0,ACEUSDT-spot-1M
spot,ACEUSDT,1d,2023-12-18T00:00:00Z,2024-10-01T00:00:00Z,289,0,ACEUSDT-spot-1d
spot,ACEUSDT,1h,2023-12-18T06:00:00Z,2024-10-01T13:00:00Z,6920,0,ACEUSDT-spot-1h
spot,ACEUSDT,1w,2023-12-18T00:00:00Z,2024-09-30T00:00:00Z,42,0,ACEUSDT-spot-1w
spot,ACEUSDT,30m,2023-12-18T06:00:00Z,2024-10-01T13:00:00Z,13839,0,ACEUSDT-spot-30m
spot,ACEUSDT,4h,2023-12-18T04:00:00Z,2024-10-01T12:00:00Z,1731,0,ACEUSDT-spot-4h
